Berg TG,8572,TG,47.5789,9.16855
Berg am Irchel,8415,ZH,47.56958,8.59586
Bergdietikon,8962,AG,47.39285,8.38455
Bergün/Bravuogn,7482,GR,46.62867,9.75126
Berikon,8965,AG,47.3542,8.37035
Beringen,8222,SH,47.69797,8.57955
Berlingen,8267,TG,47.67278,9.02357
Bern,3004,BE,46.94736,7.42456
Berneck,9442,SG,47.42542,9.6143
Bernex,1233,GE,46.17222,6.07204
Bernhardzell,9304,SG,47.46892,9.34041
Berolle,1149,VD,46.55933,6.33735
Beromünster,6215,LU,47.20584,8.19429
Berschis,8892,SG,47.10678,9.34542
Bertschikon,8543,ZH,47.526,8.83148
Bertschikon (Gossau ZH),8614,ZH,47.32156,8.75803
Besazio,6863,TI,45.87247,8.95209
Besenbüren,5627,AG,47.31262,8.34406
Betten,3991,VS,46.37753,8.06883
Bettenhausen,3366,BE,47.17317,7.71315
Bettingen,4126,BS,47.57028,7.66583
Bettlach,2544,SO,47.20216,7.42193
Bettmeralp,3992,VS,46.38943,8.06255
Bettwiesen,9553,TG,47.49697,9.02416
Bettwil,5618,AG,47.28943,8.26688
Beurnevésin,2935,JU,47.49251,7.13775
Bevaix,2022,NE,46.92959,6.81438
Bever,7502,GR,46.55231,9.88858
Bex,1880,VD,46.24899,7.01422
Biasca,6710,TI,46.36084,8.97089
Biberist,4562,SO,47.18251,7.55966
Bibern SH,8242,SH,47.773,8.67807
Bibern SO,4578,SO,47.14599,7.45586
Biberstein,5023,AG,47.41486,8.08307
Bichelsee,8363,TG,47.44939,8.9223
Bichwil,9248,SG,47.42038,9.13535
Bidogno,6958,TI,46.0794,8.99938
Biel VS,3989,VS,46.45563,8.21722
Biel-Benken BL,4105,BL,47.50734,7.5234
Biel/Bienne,2502,BE,47.13843,7.24918
Biembach im Emmental,3419,BE,46.99887,7.62503
Biezwil,4585,SO,47.11414,7.41734
Bigenthal,3513,BE,46.97021,7.62932
Biglen,3507,BE,46.9271,7.62746
Bignasco,6676,TI,46.33928,8.61137
Billens,1681,FR,46.68988,6.89772
Bilten,8865,GL,47.15046,9.02303
Binn,3996,VS,46.36533,8.19175
Binningen,4102,BL,47.53766,7.56841
Binz,8122,ZH,47.35754,8.62606
Bioggio,6934,TI,46.01448,8.9083
Birmensdorf ZH,8903,ZH,47.35532,8.44306
Birmenstorf AG,5413,AG,47.46091,8.25124
Bironico,6804,TI,46.11504,8.9347
Birrhard,5244,AG,47.43462,8.24459
Birrwil,5708,AG,47.28978,8.19711
Birsfelden,4127,BL,47.55217,7.62691
Bischofszell,9220,TG,47.49422,9.24127
Bissone,6816,TI,45.9521,8.96646
Bitsch,3982,VS,46.33783,8.01338
Bivio,7457,GR,46.46757,9.6511
Bière,1145,VD,46.53604,6.33499
Blankenburg,3771,BE,46.5426,7.38932
Blatten (Lötschen),3919,VS,46.41984,7.81638
Blatten b. Naters,3914,VS,46.36061,7.98145
Blauen,4223,BL,47.44985,7.51905
Blausee-Mitholz,3717,BE,46.52556,7.67289
Bleienbach,3368,BE,47.18421,7.75631
Bleiken b. Oberdiessbach,3674,BE,46.8156,7.63781
Blonay,1807,VD,46.46653,6.89467
Blumenstein,3638,BE,46.74024,7.52048
Bodio TI,6743,TI,46.37898,8.91279
Bofflens,1353,VD,46.70436,6.49874
Boll,3067,BE,46.95538,7.5464
Bolligen,3065,BE,46.97625,7.49834
Bollingen,8715,SG,47.22048,8.89109
Boltigen,3766,BE,46.61325,7.37533
Bonaduz,7402,GR,46.81137,9.39757
Boncourt,2926,JU,47.49477,7.01266
Bonfol,2944,JU,47.47769,7.15158
Boningen,4618,SO,47.30723,7.85453
Boniswil,5706,AG,47.31534,8.18733
Bonstetten,8906,ZH,47.31978,8.47045
Bonvillars,1427,VD,46.83847,6.67092
Boppelsen,8113,ZH,47.47061,8.40302
Borex,1277,VD,46.38052,6.17699
Borgnone,6658,TI,46.1621,8.61529
Borgonovo,7604,GR,46.34764,9.60397
Bosco Luganese,6935,TI,46.02562,8.90875
Bosco/Gurin,6685,TI,46.31733,8.49046
Bossonnens,1615,FR,46.52556,6.85111
Boswil,5623,AG,47.30025,8.31407
Bottenwil,4814,AG,47.28573,8.00597
